fold,label,AUC,F1,best_vF1,epochs,train_eps
0,PICALM,n/a,0.488,0.488,27,2257
1,PICALM,n/a,0.497,0.497,19,2257
2,PICALM,n/a,1.000,1.000,19,2257
3,PICALM,n/a,0.496,0.496,16,2257
4,PICALM,n/a,1.000,1.000,25,2257
5,PICALM,n/a,1.000,1.000,23,2257
6,PICALM,n/a,1.000,1.000,17,2257
7,PICALM,n/a,1.000,1.000,13,2257
8,PICALM,n/a,1.000,1.000,16,2257
9,PICALM,n/a,1.000,1.000,13,2257
10,PICALM,n/a,1.000,1.000,18,2257
11,PICALM,n/a,0.491,0.491,13,2257
12,PICALM,n/a,1.000,1.000,13,2257
13,PICALM,n/a,1.000,1.000,17,2257
14,PICALM,n/a,1.000,1.000,13,2257
15,PICALM,n/a,1.000,1.000,13,2257
16,PICALM,n/a,1.000,1.000,13,2257
17,PICALM,n/a,1.000,1.000,13,2257
18,PICALM,n/a,1.000,1.000,13,2257
19,PICALM,n/a,1.000,1.000,18,2257
20,PICALM,n/a,0.473,0.473,13,2257
21,PICALM,n/a,1.000,1.000,13,2257
22,PICALM,n/a,1.000,1.000,13,2257
23,PICALM,n/a,1.000,1.000,16,2257
24,PICALM,n/a,1.000,1.000,13,2257
25,PICALM,n/a,1.000,1.000,13,2257
26,PICALM,n/a,1.000,1.000,13,2257
27,PICALM,n/a,0.483,0.483,24,2257
28,PICALM,n/a,1.000,1.000,13,2257
29,PICALM,n/a,1.000,1.000,21,2257
30,APOE,n/a,0.487,0.487,29,2257
31,APOE,n/a,0.499,0.499,16,2257
32,APOE,n/a,0.469,0.469,18,2257
33,APOE,n/a,1.000,1.000,13,2257
34,APOE,n/a,1.000,1.000,22,2257
35,APOE,n/a,1.000,1.000,30,2257
36,APOE,n/a,1.000,1.000,14,2257
37,APOE,n/a,1.000,1.000,29,2257
38,APOE,n/a,0.437,0.437,15,2257
39,APOE,n/a,1.000,1.000,15,2257
40,APOE,n/a,0.491,0.491,16,2257
41,APOE,n/a,0.492,0.492,19,2257
42,APOE,n/a,1.000,1.000,23,2257
43,APOE,n/a,1.000,1.000,13,2257
44,APOE,n/a,0.497,0.497,18,2257
45,APOE,n/a,0.497,0.497,15,2257
46,APOE,n/a,1.000,1.000,13,2257
47,APOE,n/a,0.497,0.497,18,2257
48,APOE,n/a,0.373,0.373,15,2257
49,APOE,n/a,1.000,1.000,17,2257
50,APOE,n/a,1.000,1.000,15,2257
51,APOE,n/a,1.000,1.000,13,2257
52,APOE,n/a,1.000,1.000,13,2257
54,APOE,n/a,0.460,0.460,18,2257
55,APOE,n/a,1.000,1.000,14,2257
56,APOE,n/a,1.000,1.000,13,2257
57,APOE,n/a,0.497,0.497,13,2257
58,APOE,n/a,1.000,1.000,13,2257
59,APOE,n/a,0.264,0.264,15,2257
60,APOE,n/a,1.000,1.000,15,2257
61,APOE,n/a,0.499,0.499,13,2257
62,APOE,n/a,1.000,1.000,13,2257
63,APOE,n/a,1.000,1.000,14,2280
64,APOE,n/a,1.000,1.000,13,2257
65,APOE,n/a,0.431,0.431,20,2257
66,APOE,n/a,1.000,1.000,13,2257
67,APOE,n/a,1.000,1.000,13,2257
68,APOE,n/a,1.000,1.000,13,2257
69,APOE,n/a,0.487,0.487,19,2257
70,APOE,n/a,1.000,1.000,16,2257
71,APOE,n/a,1.000,1.000,13,2257
72,APOE,n/a,0.494,0.494,13,2257
73,APOE,n/a,0.487,0.487,19,2257
74,APOE,n/a,0.496,0.496,13,2257
75,APOE,n/a,1.000,1.000,13,2257
76,APOE,n/a,0.485,0.485,13,2257
77,APOE,n/a,0.499,0.499,20,2257
