fold,F1,n_test_epochs,epochs_run,best_val_f1,final_auc
0,0.488,174,27,0.488,
1,0.497,170,19,0.497,
2,1.0,182,19,1.0,
3,0.496,171,16,0.496,
4,1.0,173,25,1.0,
5,1.0,173,23,1.0,
6,1.0,162,17,1.0,
7,1.0,177,13,1.0,
8,1.0,182,16,1.0,
9,1.0,169,13,1.0,
10,1.0,172,18,1.0,
11,0.491,145,13,0.491,
12,1.0,177,13,1.0,
13,1.0,176,17,1.0,
14,1.0,179,13,1.0,
15,1.0,108,13,1.0,
16,1.0,162,13,1.0,
17,1.0,178,13,1.0,
18,1.0,159,13,1.0,
19,1.0,117,18,1.0,
20,0.473,158,13,0.473,
21,1.0,153,13,1.0,
22,1.0,76,13,1.0,
23,1.0,175,16,1.0,
24,1.0,136,13,1.0,
25,1.0,179,13,1.0,
26,1.0,137,13,1.0,
27,0.483,194,24,0.483,
28,1.0,185,13,1.0,
29,1.0,137,21,1.0,
30,0.487,158,29,0.487,
31,0.499,179,16,0.499,
32,0.469,169,18,0.469,
33,1.0,164,13,1.0,
34,1.0,69,22,1.0,
35,1.0,200,30,1.0,
36,1.0,144,14,1.0,
37,1.0,171,29,1.0,
38,0.437,160,15,0.437,
39,1.0,174,15,1.0,
40,0.491,166,16,0.491,
41,0.492,151,19,0.492,
42,1.0,184,23,1.0,
43,1.0,171,13,1.0,
44,0.497,177,18,0.497,
45,0.497,172,15,0.497,
46,1.0,160,13,1.0,
47,0.497,182,18,0.497,
48,0.373,116,15,0.373,
49,1.0,224,17,1.0,
50,1.0,131,15,1.0,
51,1.0,179,13,1.0,
52,1.0,130,13,1.0,
54,0.46,87,18,0.46,
55,1.0,160,14,1.0,
56,1.0,143,13,1.0,
57,0.497,172,13,0.497,
58,1.0,222,13,1.0,
59,0.264,178,15,0.264,
60,1.0,131,15,1.0,
61,0.499,176,13,0.499,
62,1.0,180,13,1.0,
63,1.0,7,14,1.0,
64,1.0,145,13,1.0,
65,0.431,185,20,0.431,
66,1.0,143,13,1.0,
67,1.0,121,13,1.0,
68,1.0,182,13,1.0,
69,0.487,102,19,0.487,
70,1.0,169,16,1.0,
71,1.0,172,13,1.0,
72,0.494,171,13,0.494,
73,0.487,59,19,0.487,
74,0.496,169,13,0.496,
75,1.0,103,13,1.0,
76,0.485,205,13,0.485,
77,0.499,178,20,0.499,
