fold,final_f1,n_test_epochs,epochs_run,best_val_f1,final_auc
0,0.488235294117647,174,27,0.488235294117647,
1,0.4970414201183432,170,19,0.4970414201183432,
2,1.0,182,19,1.0,
3,0.495575221238938,171,16,0.495575221238938,
4,1.0,173,25,1.0,
5,1.0,173,23,1.0,
6,1.0,162,17,1.0,
7,1.0,177,13,1.0,
8,1.0,182,16,1.0,
9,1.0,169,13,1.0,
10,1.0,172,18,1.0,
11,0.4912280701754385,145,13,0.4912280701754385,
12,1.0,177,13,1.0,
13,1.0,176,17,1.0,
14,1.0,179,13,1.0,
15,1.0,108,13,1.0,
16,1.0,162,13,1.0,
17,1.0,178,13,1.0,
18,1.0,159,13,1.0,
19,1.0,117,18,1.0,
20,0.4733333333333333,158,13,0.4733333333333333,
21,1.0,153,13,1.0,
22,1.0,76,13,1.0,
23,1.0,175,16,1.0,
24,1.0,136,13,1.0,
25,1.0,179,13,1.0,
26,1.0,137,13,1.0,
27,0.4826666666666667,194,24,0.4826666666666667,
28,1.0,185,13,1.0,
29,1.0,137,21,1.0,
30,0.487012987012987,158,29,0.487012987012987,
31,0.4985994397759103,179,16,0.4985994397759103,
32,0.4685534591194968,169,18,0.4685534591194968,
33,1.0,164,13,1.0,
34,1.0,69,22,1.0,
35,1.0,200,30,1.0,
36,1.0,144,14,1.0,
37,1.0,171,29,1.0,
38,0.4366197183098591,160,15,0.4366197183098591,
39,1.0,174,15,1.0,
40,0.4907975460122699,166,16,0.4907975460122699,
41,0.4915824915824915,151,19,0.4915824915824915,
42,1.0,184,23,1.0,
43,1.0,171,13,1.0,
44,0.4971590909090909,177,18,0.4971590909090909,
45,0.4970760233918128,172,15,0.4970760233918128,
46,1.0,160,13,1.0,
47,0.4972375690607735,182,18,0.4972375690607735,
48,0.372972972972973,116,15,0.372972972972973,
49,1.0,224,17,1.0,
50,1.0,131,15,1.0,
51,1.0,179,13,1.0,
52,1.0,130,13,1.0,
54,0.4596273291925465,87,18,0.4596273291925465,
55,1.0,160,14,1.0,
56,1.0,143,13,1.0,
57,0.4970760233918128,172,13,0.4970760233918128,
58,1.0,222,13,1.0,
59,0.2644628099173554,178,15,0.2644628099173554,
60,1.0,131,15,1.0,
61,0.4985754985754986,176,13,0.4985754985754986,
62,1.0,180,13,1.0,
63,1.0,7,14,1.0,
64,1.0,145,13,1.0,
65,0.4307692307692308,185,20,0.4307692307692308,
66,1.0,143,13,1.0,
67,1.0,121,13,1.0,
68,1.0,182,13,1.0,
69,0.4874371859296482,102,19,0.4874371859296482,
70,1.0,169,16,1.0,
71,1.0,172,13,1.0,
72,0.4940828402366864,171,13,0.4940828402366864,
73,0.4869565217391304,59,19,0.4869565217391304,
74,0.4955223880597015,169,13,0.4955223880597015,
75,1.0,103,13,1.0,
76,0.4849246231155779,205,13,0.4849246231155779,
77,0.4985915492957746,178,20,0.4985915492957746,
