fold,test_subject,true_label,pred_label,prob_picalm,correct
0,1,1,0,0.42331277342259865,0
1,2,1,0,0.45171005083855426,0
2,3,1,0,0.37096886775445226,0
3,4,1,0,0.3038977813023886,0
4,5,1,0,0.33952532355206877,0
5,6,1,1,0.5483176583162237,1
6,7,1,1,0.5548340573522507,1
7,8,1,1,0.5602211145979641,1
8,9,1,1,0.5119467839768441,1
9,10,1,0,0.36623096475956124,0
10,11,1,0,0.4799759758313726,0
11,12,1,0,0.2759211198730776,0
12,13,1,0,0.3824330826936024,0
13,14,1,0,0.3290492024541571,0
14,15,1,0,0.45709622933469096,0
15,16,1,0,0.3186949378726422,0
16,17,1,0,0.32846655658274354,0
17,18,1,0,0.28879209825477925,0
18,19,1,0,0.4431259064981183,0
19,20,1,0,0.4568541877466889,0
20,21,1,0,0.1762879289794596,0
21,22,1,0,0.4140664135004068,0
22,23,1,1,0.7961661303748129,1
23,24,1,0,0.34346567742638673,0
24,25,1,0,0.46443977267112946,0
25,26,1,1,0.5094719998039606,1
26,27,1,0,0.397412705881345,0
27,28,1,1,0.5257634917610355,1
28,29,1,0,0.2710666516898353,0
29,31,1,0,0.15316507298014972,0
30,32,0,1,0.5666454155167348,0
31,33,0,1,0.7086601632043256,0
32,34,0,1,0.5761059670533204,0
33,35,0,0,0.4852207872679032,1
34,36,0,0,0.4041359128543872,1
35,37,0,0,0.3996551447412196,1
36,38,0,1,0.547924334785744,0
37,39,0,0,0.45715776076446,1
38,40,0,0,0.4914901275620616,1
39,41,0,0,0.36207928456727034,1
40,42,0,1,0.5960708746727266,0
41,43,0,1,0.648089567350035,0
42,44,0,0,0.34820652647534484,1
43,45,0,0,0.42387336093747746,1
44,46,0,1,0.5814644237807293,0
45,47,0,0,0.3291268109477154,1
46,48,0,1,0.6156962742673273,0
47,49,0,1,0.6657026587479897,0
48,50,0,1,0.5651271957884889,0
49,51,0,1,0.5011359206707032,0
50,52,0,1,0.5732088708600568,0
51,53,0,0,0.36445839415605524,1
52,54,0,0,0.39061127677002977,1
53,55,0,0,0.4958704611775869,1
54,56,0,1,0.6174269782585824,0
55,57,0,0,0.49309259009636824,1
56,58,0,1,0.6866960981245419,0
57,59,0,1,0.5786727902569779,0
58,60,0,1,0.5274781075678731,0
59,61,0,1,0.5651863358033158,0
60,62,0,1,0.615810093505818,0
61,63,0,0,0.37645014609486627,1
62,64,0,0,0.3915650947439034,1
63,65,0,0,0.46726735897844446,1
64,66,0,0,0.3977257857599025,1
65,67,0,1,0.6677815090932687,0
66,68,0,1,0.5443729737233294,0
67,70,0,0,0.4325930232117697,1
68,71,0,1,0.8032133717867456,0
69,72,0,0,0.4595094217323267,1
70,73,0,1,0.621831711491432,0
71,74,0,1,0.5915377791831253,0
72,75,0,0,0.4623133047992071,1
73,76,0,0,0.33765488171494323,1
74,77,0,0,0.32627632925419836,1
75,78,0,0,0.4657011275657284,1
76,79,0,1,0.8237655057848009,0
77,80,0,1,0.5155122831793376,0
